header,taxon,protein,sp,description,vog
1262512.YP_009098292.1 putative sigma factor [Staphylococcus phage Team1],1262512,YP_009098292.1,Staphylococcus phage Team1, putative sigma factor,VOG00050
1277886.YP_009003061.1 putative sigma factor [Bacillus phage BPS10C],1277886,YP_009003061.1,Bacillus phage BPS10C, putative sigma factor,VOG00050
1285382.YP_009625809.1 hypothetical protein [Bacillus phage SIOphi],1285382,YP_009625809.1,Bacillus phage SIOphi, hypothetical protein,VOG00050
1296655.YP_009215953.1 sigma factor [Bacillus phage JL],1296655,YP_009215953.1,Bacillus phage JL, sigma factor,VOG00050
1296656.YP_009216173.1 sigma factor [Bacillus phage Shanette],1296656,YP_009216173.1,Bacillus phage Shanette, sigma factor,VOG00050
1340769.YP_009600998.1 putative sigma factor [Staphylococcus phage phiIBB-SEP1],1340769,YP_009600998.1,Staphylococcus phage phiIBB-SEP1, putative sigma factor,VOG00050
1382932.YP_008430954.1 RNA polymerase sigma factor [Bacillus phage Troll],1382932,YP_008430954.1,Bacillus phage Troll, RNA polymerase sigma factor,VOG00050
1391188.YP_009099149.1 putative sigma factor [Bacillus phage CP-51],1391188,YP_009099149.1,Bacillus phage CP-51, putative sigma factor,VOG00050
1406781.YP_008771190.1 RNA polymerase sigma factor [Bacillus phage BigBertha],1406781,YP_008771190.1,Bacillus phage BigBertha, RNA polymerase sigma factor,VOG00050
1406783.YP_008770092.1 RNA polymerase sigma factor [Bacillus phage CampHawk],1406783,YP_008770092.1,Bacillus phage CampHawk, RNA polymerase sigma factor,VOG00050
1406785.YP_008771504.1 RNA polymerase sigma factor [Bacillus phage Grass],1406785,YP_008771504.1,Bacillus phage Grass, RNA polymerase sigma factor,VOG00050
1406791.YP_008770388.1 RNA polymerase sigma factor [Bacillus phage Spock],1406791,YP_008770388.1,Bacillus phage Spock, RNA polymerase sigma factor,VOG00050
1445811.YP_009784360.1 hypothetical protein [Bacillus phage Bp8p-T],1445811,YP_009784360.1,Bacillus phage Bp8p-T, hypothetical protein,VOG00050
1450142.YP_009006802.1 putative sigma factor [Staphylococcus phage phiSA12],1450142,YP_009006802.1,Staphylococcus phage phiSA12, putative sigma factor,VOG00050
1458855.YP_009044613.1 hypothetical protein [Listeria phage LP-083-2],1458855,YP_009044613.1,Listeria phage LP-083-2, hypothetical protein,VOG00050
1486413.YP_009055745.1 hypothetical protein [Listeria phage LMTA-148],1486413,YP_009055745.1,Listeria phage LMTA-148, hypothetical protein,VOG00050
1486414.YP_009793377.1 hypothetical protein [Listeria phage LMTA-57],1486414,YP_009793377.1,Listeria phage LMTA-57, hypothetical protein,VOG00050
1486419.YP_009793543.1 hypothetical protein [Listeria phage LMTA-94],1486419,YP_009793543.1,Listeria phage LMTA-94, hypothetical protein,VOG00050
1486421.YP_009043150.1 hypothetical protein [Listeria phage LMSP-25],1486421,YP_009043150.1,Listeria phage LMSP-25, hypothetical protein,VOG00050
1486422.YP_009043406.1 hypothetical protein [Listeria phage List-36],1486422,YP_009043406.1,Listeria phage List-36, hypothetical protein,VOG00050
1486657.YP_009037083.1 RNA polymerase sigma factor sigma-28 [Bacillus phage CAM003],1486657,YP_009037083.1,Bacillus phage CAM003, RNA polymerase sigma factor sigma-28,VOG00050
1486658.YP_009035701.1 hypothetical protein [Bacillus phage Evoli],1486658,YP_009035701.1,Bacillus phage Evoli, hypothetical protein,VOG00050
1486659.YP_009036624.1 RNA polymerase sigma factor sigma-28 [Bacillus phage Hakuna],1486659,YP_009036624.1,Bacillus phage Hakuna, RNA polymerase sigma factor sigma-28,VOG00050
1486660.YP_009035374.1 RNA polymerase sigma factor sigma-28 [Bacillus phage Hoody T],1486660,YP_009035374.1,Bacillus phage Hoody T, RNA polymerase sigma factor sigma-28,VOG00050
1486661.YP_009036248.1 RNA polymerase sigma factor sigma-28 [Bacillus phage Megatron],1486661,YP_009036248.1,Bacillus phage Megatron, RNA polymerase sigma factor sigma-28,VOG00050
1486662.YP_009055929.1 RNA polymerase sigma factor [Bacillus phage Riley],1486662,YP_009055929.1,Bacillus phage Riley, RNA polymerase sigma factor,VOG00050
1498168.YP_009147040.1 putative sigma factor [Enterococcus phage ECP3],1498168,YP_009147040.1,Enterococcus phage ECP3, putative sigma factor,VOG00050
1498212.YP_009149167.1 putative RNA polymerase sigma factor [Bacillus phage JBP901],1498212,YP_009149167.1,Bacillus phage JBP901, putative RNA polymerase sigma factor,VOG00050
1524910.YP_009098073.1 putative sigma factor [Staphylococcus phage MCE-2014],1524910,YP_009098073.1,Staphylococcus phage MCE-2014, putative sigma factor,VOG00050
1526408.YP_009099385.1 putative sigma factor [Staphylococcus phage P108],1526408,YP_009099385.1,Staphylococcus phage P108, putative sigma factor,VOG00050
1527469.YP_009056383.1 RNA polymerase sigma factor [Bacillus phage Bobb],1527469,YP_009056383.1,Bacillus phage Bobb, RNA polymerase sigma factor,VOG00050
1540090.YP_009151070.1 RNA polymerase sigma factor [Bacillus phage Mater],1540090,YP_009151070.1,Bacillus phage Mater, RNA polymerase sigma factor,VOG00050
1540091.YP_009151693.1 RNA polymerase sigma factor [Bacillus phage Moonbeam],1540091,YP_009151693.1,Bacillus phage Moonbeam, RNA polymerase sigma factor,VOG00050
1567484.YP_009222342.1 hypothetical protein [Lactobacillus phage LfeInf],1567484,YP_009222342.1,Lactobacillus phage LfeInf, hypothetical protein,VOG00050
1572703.YP_009195970.1 putative sigma factor [Staphylococcus phage phiIPLA-RODI],1572703,YP_009195970.1,Staphylococcus phage phiIPLA-RODI, putative sigma factor,VOG00050
1572704.YP_009214532.1 sigma factor [Staphylococcus phage phiIPLA-C1C],1572704,YP_009214532.1,Staphylococcus phage phiIPLA-C1C, sigma factor,VOG00050
1597976.YP_009218381.2 hypothetical protein [Enterococcus phage EFDG1],1597976,YP_009218381.2,Enterococcus phage EFDG1, hypothetical protein,VOG00050
1610830.YP_009782179.1 putative sigma factor [Staphylococcus phage IME-SA1],1610830,YP_009782179.1,Staphylococcus phage IME-SA1, putative sigma factor,VOG00050
1610831.YP_009782424.1 putative sigma factor [Staphylococcus phage IME-SA2],1610831,YP_009782424.1,Staphylococcus phage IME-SA2, putative sigma factor,VOG00050
1640885.YP_009513933.1 hypothetical protein [Enterococcus phage EFLK1],1640885,YP_009513933.1,Enterococcus phage EFLK1, hypothetical protein,VOG00050
1673874.YP_009782846.1 putative sigma factor [Staphylococcus phage IME-SA119],1673874,YP_009782846.1,Staphylococcus phage IME-SA119, putative sigma factor,VOG00050
1673884.YP_009782664.1 putative sigma factor [Staphylococcus phage IME-SA118],1673884,YP_009782664.1,Staphylococcus phage IME-SA118, putative sigma factor,VOG00050
1690431.YP_009212122.1 RNA polymerase sigma factor [Bacillus phage Eyuki],1690431,YP_009212122.1,Bacillus phage Eyuki, RNA polymerase sigma factor,VOG00050
1690456.YP_009206960.1 RNA polymerase sigma factor [Bacillus phage TsarBomba],1690456,YP_009206960.1,Bacillus phage TsarBomba, RNA polymerase sigma factor,VOG00050
1698451.YP_009206524.1 RNA polymerase sigma factor [Bacillus phage AvesoBmore],1698451,YP_009206524.1,Bacillus phage AvesoBmore, RNA polymerase sigma factor,VOG00050
1776293.YP_009274835.1 RNA polymerase sigma factor [Bacillus phage Eldridge],1776293,YP_009274835.1,Bacillus phage Eldridge, RNA polymerase sigma factor,VOG00050
1792245.YP_009285446.1 hypothetical protein [Bacillus phage Deep Blue],1792245,YP_009285446.1,Bacillus phage Deep Blue, hypothetical protein,VOG00050
1796992.YP_009275337.1 RNA polymerase sigma factor-like protein [Bacillus phage Shbh1],1796992,YP_009275337.1,Bacillus phage Shbh1, RNA polymerase sigma factor-like protein,VOG00050
1805948.YP_009278201.1 sigma factor [Bacillus phage DIGNKC],1805948,YP_009278201.1,Bacillus phage DIGNKC, sigma factor,VOG00050
1805950.YP_009287061.1 sigma factor [Bacillus phage Nemo],1805950,YP_009287061.1,Bacillus phage Nemo, sigma factor,VOG00050
1805951.YP_009282577.1 sigma factor [Bacillus phage Nigalana],1805951,YP_009282577.1,Bacillus phage Nigalana, sigma factor,VOG00050
1805952.YP_009284509.1 sigma factor [Bacillus phage NotTheCreek],1805952,YP_009284509.1,Bacillus phage NotTheCreek, sigma factor,VOG00050
1805953.YP_009290042.1 sigma factor [Bacillus phage Phrodo],1805953,YP_009290042.1,Bacillus phage Phrodo, sigma factor,VOG00050
1805954.YP_009280984.1 sigma factor [Bacillus phage SageFayge],1805954,YP_009280984.1,Bacillus phage SageFayge, sigma factor,VOG00050
1805956.YP_009291759.1 sigma factor [Bacillus phage Zuko],1805956,YP_009291759.1,Bacillus phage Zuko, sigma factor,VOG00050
1837830.YP_009282131.1 RNA polymerase sigma factor [Bacillus phage SalinJah],1837830,YP_009282131.1,Bacillus phage SalinJah, RNA polymerase sigma factor,VOG00050
1852564.YP_009280555.1 RNA polymerase sigma factor sigma-28 [Bacillus phage Belinda],1852564,YP_009280555.1,Bacillus phage Belinda, RNA polymerase sigma factor sigma-28,VOG00050
1868844.YP_009786305.1 sigma factor [Staphylococcus phage vB_SscM-1],1868844,YP_009786305.1,Staphylococcus phage vB_SscM-1, sigma factor,VOG00050
1873998.YP_009279351.1 RNA polymerase sigma factor [Bacillus phage Kida],1873998,YP_009279351.1,Bacillus phage Kida, RNA polymerase sigma factor,VOG00050
1873999.YP_009285127.1 sigma factor [Bacillus phage DirtyBetty],1873999,YP_009285127.1,Bacillus phage DirtyBetty, sigma factor,VOG00050
1926594.YP_009788338.1 putative RNA polymerase sigma factor [Enterococcus phage EFP01],1926594,YP_009788338.1,Enterococcus phage EFP01, putative RNA polymerase sigma factor,VOG00050
1933063.YP_009832112.1 RNA polymerase sigma factor [Bacillus phage vB_BsuM-Goe3],1933063,YP_009832112.1,Bacillus phage vB_BsuM-Goe3, RNA polymerase sigma factor,VOG00050
1985178.YP_009626704.1 hypothetical protein [Bacillus virus BM15],1985178,YP_009626704.1,Bacillus virus BM15, hypothetical protein,VOG00050
2059850.YP_009818180.1 putative sigma factor [Lactobacillus phage Lpa804],2059850,YP_009818180.1,Lactobacillus phage Lpa804, putative sigma factor,VOG00050
207656.YP_008318397.1 putative late sigma factor [Bacillus phage phiNIT1],207656,YP_008318397.1,Bacillus phage phiNIT1, putative late sigma factor,VOG00050
2079429.YP_009798107.1 sigma factor [Lactobacillus phage Bacchae],2079429,YP_009798107.1,Lactobacillus phage Bacchae, sigma factor,VOG00050
2079433.YP_009798418.1 sigma factor [Lactobacillus phage Semele],2079433,YP_009798418.1,Lactobacillus phage Semele, sigma factor,VOG00050
2126724.YP_009799998.1 hypothetical protein [Staphylococcus phage phiSA_BS2],2126724,YP_009799998.1,Staphylococcus phage phiSA_BS2, hypothetical protein,VOG00050
2126734.YP_009799579.1 hypothetical protein [Staphylococcus phage phiSA_BS1],2126734,YP_009799579.1,Staphylococcus phage phiSA_BS1, hypothetical protein,VOG00050
221915.YP_009041371.1 putative sigma factor [Staphylococcus virus K],221915,YP_009041371.1,Staphylococcus virus K, putative sigma factor,VOG00050
2283013.YP_009840610.1 putative RNA polymerase sigma factor 1 [Bacillus phage BSP38],2283013,YP_009840610.1,Bacillus phage BSP38, putative RNA polymerase sigma factor 1,VOG00050
2315483.YP_009814287.1 sigma factor [Lactobacillus phage Iacchus],2315483,YP_009814287.1,Lactobacillus phage Iacchus, sigma factor,VOG00050
2315485.YP_009814457.1 sigma factor [Lactobacillus phage Bromius],2315485,YP_009814457.1,Lactobacillus phage Bromius, sigma factor,VOG00050
2315766.YP_009814869.1 hypothetical protein [Enterococcus phage EfV12-phi1],2315766,YP_009814869.1,Enterococcus phage EfV12-phi1, hypothetical protein,VOG00050
2510941.YP_009844328.1 RNA polymerase sigma factor [Lactobacillus phage SAC12B],2510941,YP_009844328.1,Lactobacillus phage SAC12B, RNA polymerase sigma factor,VOG00050
2510942.YP_009843985.1 RNA polymerase sigma factor [Lactobacillus phage 521B],2510942,YP_009843985.1,Lactobacillus phage 521B, RNA polymerase sigma factor,VOG00050
2510943.YP_009844105.1 RNA polymerase sigma factor [Lactobacillus phage 3-521],2510943,YP_009844105.1,Lactobacillus phage 3-521, RNA polymerase sigma factor,VOG00050
2593638.YP_009850071.1 hypothetical protein [Bacillus phage vB_BmeM-Goe8],2593638,YP_009850071.1,Bacillus phage vB_BmeM-Goe8, hypothetical protein,VOG00050
2884427.YP_002300430.1 gp34 [Bacillus phage SPO1],2884427,YP_002300430.1,Bacillus phage SPO1, gp34,VOG00050
292029.YP_240964.1 putative sigma factor [Staphylococcus virus G1],292029,YP_240964.1,Staphylococcus virus G1, putative sigma factor,VOG00050
307898.YP_009224564.1 putative sigma factor [Staphylococcus phage 812],307898,YP_009224564.1,Staphylococcus phage 812, putative sigma factor,VOG00050
330395.YP_406450.1 gp74 [Listeria virus P100],330395,YP_406450.1,Listeria virus P100, gp74,VOG00050
40523.YP_001468523.1 gp143 [Listeria virus A511],40523,YP_001468523.1,Listeria virus A511, gp143,VOG00050
442493.YP_001504175.1 putative sigma factor [Enterococcus phage EF24C (Enterococcus faecalis bacteriophage phiEF24C)],442493,YP_001504175.1,Enterococcus phage EF24C (Enterococcus faecalis bacteriophage phiEF24C), putative sigma factor,VOG00050
516541.YP_009781998.1 putative sigma factor [Staphylococcus phage A5W],516541,YP_009781998.1,Staphylococcus phage A5W, putative sigma factor,VOG00050
55510.YP_238615.1 ORF058 [Staphylococcus virus Twort],55510,YP_238615.1,Staphylococcus virus Twort, ORF058,VOG00050
57477.YP_006907409.1 hypothetical protein [Bacillus phage Bastille],57477,YP_006907409.1,Bacillus phage Bastille, hypothetical protein,VOG00050
584892.YP_009031424.1 putative RNA polymerase sigma factor [Bacillus phage Bcp1],584892,YP_009031424.1,Bacillus phage Bcp1, putative RNA polymerase sigma factor,VOG00050
632112.YP_002790835.1 putative sigma factor [Lactobacillus virus Lb338-1],632112,YP_002790835.1,Lactobacillus virus Lb338-1, putative sigma factor,VOG00050
760530.YP_007002270.1 putative sigma factor [Staphylococcus phage G15],760530,YP_007002270.1,Staphylococcus phage G15, putative sigma factor,VOG00050
764595.YP_004957120.1 gp105 [Bacillus phage W.Ph],764595,YP_004957120.1,Bacillus phage W.Ph, gp105,VOG00050
857312.YP_004301485.1 gp152 [Brochothrix phage A9],857312,YP_004301485.1,Brochothrix phage A9, gp152,VOG00050
941058.YP_007003457.1 sigma factor [Bacillus phage SP-10],941058,YP_007003457.1,Bacillus phage SP-10, sigma factor,VOG00050
1126949.YP_009783734.1 putative RNA polymerase sigma 28 subunit SigF [Bacillus phage B5S],1126949,YP_009783734.1,Bacillus phage B5S, putative RNA polymerase sigma 28 subunit SigF,VOG00050
1126950.YP_006907943.1 putative RNA polymerase sigma 28 subunit SigF [Bacillus phage BCP78],1126950,YP_006907943.1,Bacillus phage BCP78, putative RNA polymerase sigma 28 subunit SigF,VOG00050
1126950.YP_006907944.1 putative RNA polymerase sigma 28 subunit SigG [Bacillus phage BCP78],1126950,YP_006907944.1,Bacillus phage BCP78, putative RNA polymerase sigma 28 subunit SigG,VOG00050
1126951.YP_009783471.1 putative RNA polymerase sigma 28 subunit SigF [Bacillus phage BCU4],1126951,YP_009783471.1,Bacillus phage BCU4, putative RNA polymerase sigma 28 subunit SigF,VOG00050
1126951.YP_009783472.1 putative RNA polymerase sigma 28 subunit SigG [Bacillus phage BCU4],1126951,YP_009783472.1,Bacillus phage BCU4, putative RNA polymerase sigma 28 subunit SigG,VOG00050
"1129192.YP_009149686.1 putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage BCP8-2]",1129192,YP_009149686.1,Bacillus phage BCP8-2," putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",VOG00050
1129192.YP_009149687.1 putative RNA polymerase sigma factor G [Bacillus phage BCP8-2],1129192,YP_009149687.1,Bacillus phage BCP8-2, putative RNA polymerase sigma factor G,VOG00050
1136731.YP_006907696.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage BPS13],1136731,YP_006907696.1,Bacillus phage BPS13, sigma-70 family RNA polymerase sigma factor,VOG00050
1137745.YP_007006117.1 sigma factor SigF [Cyanophage S-TIM5],1137745,YP_007006117.1,Cyanophage S-TIM5, sigma factor SigF,VOG00050
1141136.YP_006987604.1 subfamily RNA polymerase sigma-70 subunit [Cronobacter phage vB_CsaM_GAP32],1141136,YP_006987604.1,Cronobacter phage vB_CsaM_GAP32, subfamily RNA polymerase sigma-70 subunit,VOG00050
1147094.YP_007007399.1 putative RNA polymerase sigma factor [Klebsiella phage vB_KleM_RaK2],1147094,YP_007007399.1,Klebsiella phage vB_KleM_RaK2, putative RNA polymerase sigma factor,VOG00050
"1195072.YP_007677007.1 RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage vB_BceM_Bc431v3]",1195072,YP_007677007.1,Bacillus phage vB_BceM_Bc431v3," RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",VOG00050
1195072.YP_007677008.1 putative RNA polymerase sigma factor G [Bacillus phage vB_BceM_Bc431v3],1195072,YP_007677008.1,Bacillus phage vB_BceM_Bc431v3, putative RNA polymerase sigma factor G,VOG00050
1204533.YP_007349306.1 putative RNA polymerase sigma factor SigF 2 [Bacillus phage phiAGATE],1204533,YP_007349306.1,Bacillus phage phiAGATE, putative RNA polymerase sigma factor SigF 2,VOG00050
1204533.YP_007349307.1 putative RNA polymerase sigma factor SigF 1 [Bacillus phage phiAGATE],1204533,YP_007349307.1,Bacillus phage phiAGATE, putative RNA polymerase sigma factor SigF 1,VOG00050
1273738.YP_009150670.1 sigma-70 family RNA polymerase sigma factor [Escherichia phage PBECO4],1273738,YP_009150670.1,Escherichia phage PBECO4, sigma-70 family RNA polymerase sigma factor,VOG00050
1277886.YP_009003022.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage BPS10C],1277886,YP_009003022.1,Bacillus phage BPS10C, sigma-70 family RNA polymerase sigma factor,VOG00050
1296655.YP_009215850.1 hypothetical protein [Bacillus phage JL],1296655,YP_009215850.1,Bacillus phage JL, hypothetical protein,VOG00050
1296656.YP_009216068.1 RNA Polymerase sigma-E factor [Bacillus phage Shanette],1296656,YP_009216068.1,Bacillus phage Shanette, RNA Polymerase sigma-E factor,VOG00050
"1382932.YP_008430993.1 RNA polymerase, SigF-like [Bacillus phage Troll]",1382932,YP_008430993.1,Bacillus phage Troll," RNA polymerase, SigF-like",VOG00050
1391188.YP_009099262.1 hypothetical protein [Bacillus phage CP-51],1391188,YP_009099262.1,Bacillus phage CP-51, hypothetical protein,VOG00050
1406781.YP_008771228.1 RNA polymerase sigma factor [Bacillus phage BigBertha],1406781,YP_008771228.1,Bacillus phage BigBertha, RNA polymerase sigma factor,VOG00050
1406783.YP_008769990.1 RNA polymerase sigma factor [Bacillus phage CampHawk],1406783,YP_008769990.1,Bacillus phage CampHawk, RNA polymerase sigma factor,VOG00050
1406785.YP_008771532.1 RNA polymerase sigma-70 factor [Bacillus phage Grass],1406785,YP_008771532.1,Bacillus phage Grass, RNA polymerase sigma-70 factor,VOG00050
1406786.YP_008770551.1 RNA polymerase sigma-70 factor [Bacillus phage Page],1406786,YP_008770551.1,Bacillus phage Page, RNA polymerase sigma-70 factor,VOG00050
1406789.YP_008771361.1 RNA polymerase sigma-70 factor [Bacillus phage Pony],1406789,YP_008771361.1,Bacillus phage Pony, RNA polymerase sigma-70 factor,VOG00050
1406790.YP_008771969.1 RNA polymerase sigma factor SigB [Bacillus phage Slash],1406790,YP_008771969.1,Bacillus phage Slash, RNA polymerase sigma factor SigB,VOG00050
1406791.YP_008770421.1 RNA polymerase sigma factor [Bacillus phage Spock],1406791,YP_008770421.1,Bacillus phage Spock, RNA polymerase sigma factor,VOG00050
1406792.YP_008770783.1 RNA polymerase sigma factor [Bacillus phage Staley],1406792,YP_008770783.1,Bacillus phage Staley, RNA polymerase sigma factor,VOG00050
1445811.YP_009784339.1 putative RNA polymerase sigma factor SigF 2 [Bacillus phage Bp8p-T],1445811,YP_009784339.1,Bacillus phage Bp8p-T, putative RNA polymerase sigma factor SigF 2,VOG00050
1445811.YP_009784340.1 putative RNA polymerase sigma factor SigF 1 [Bacillus phage Bp8p-T],1445811,YP_009784340.1,Bacillus phage Bp8p-T, putative RNA polymerase sigma factor SigF 1,VOG00050
1486657.YP_009037113.1 RNA polymerase sigma factor [Bacillus phage CAM003],1486657,YP_009037113.1,Bacillus phage CAM003, RNA polymerase sigma factor,VOG00050
1486658.YP_009035734.1 RNA polymerase sigma factor [Bacillus phage Evoli],1486658,YP_009035734.1,Bacillus phage Evoli, RNA polymerase sigma factor,VOG00050
1486659.YP_009036672.1 sigF-like RNA polymerase sigma factor [Bacillus phage Hakuna],1486659,YP_009036672.1,Bacillus phage Hakuna, sigF-like RNA polymerase sigma factor,VOG00050
1486660.YP_009035402.1 RNA polymerase sigma factor [Bacillus phage Hoody T],1486660,YP_009035402.1,Bacillus phage Hoody T, RNA polymerase sigma factor,VOG00050
1486661.YP_009036291.1 RNA polymerase sigma factor [Bacillus phage Megatron],1486661,YP_009036291.1,Bacillus phage Megatron, RNA polymerase sigma factor,VOG00050
1486662.YP_009055966.1 sigF-like RNA polymerase [Bacillus phage Riley],1486662,YP_009055966.1,Bacillus phage Riley, sigF-like RNA polymerase,VOG00050
1498212.YP_009149124.1 putative RNA polymerase sigma-70 factor [Bacillus phage JBP901],1498212,YP_009149124.1,Bacillus phage JBP901, putative RNA polymerase sigma-70 factor,VOG00050
1498212.YP_009149125.1 putative RNA polymerase sigma factor G [Bacillus phage JBP901],1498212,YP_009149125.1,Bacillus phage JBP901, putative RNA polymerase sigma factor G,VOG00050
1527469.YP_009056357.1 RNA polymerase sigma factor [Bacillus phage Bobb],1527469,YP_009056357.1,Bacillus phage Bobb, RNA polymerase sigma factor,VOG00050
1527469.YP_009056358.1 RNA polymerase sigma factor [Bacillus phage Bobb],1527469,YP_009056358.1,Bacillus phage Bobb, RNA polymerase sigma factor,VOG00050
1540090.YP_009151040.1 RNA polymerase sigma factor [Bacillus phage Mater],1540090,YP_009151040.1,Bacillus phage Mater, RNA polymerase sigma factor,VOG00050
1540091.YP_009151727.1 RNA polymerase sigma factor [Bacillus phage Moonbeam],1540091,YP_009151727.1,Bacillus phage Moonbeam, RNA polymerase sigma factor,VOG00050
1540091.YP_009151728.1 RNA polymerase sigma factor [Bacillus phage Moonbeam],1540091,YP_009151728.1,Bacillus phage Moonbeam, RNA polymerase sigma factor,VOG00050
1540092.YP_009151513.1 RNA polymerase sigma factor [Bacillus phage Pascal],1540092,YP_009151513.1,Bacillus phage Pascal, RNA polymerase sigma factor,VOG00050
1540093.YP_009152845.1 RNA polymerase sigma factor [Bacillus phage Pookie],1540093,YP_009152845.1,Bacillus phage Pookie, RNA polymerase sigma factor,VOG00050
1555202.YP_009101754.1 sigma-70 family RNA polymerase sigma factor [Escherichia phage 121Q],1555202,YP_009101754.1,Escherichia phage 121Q, sigma-70 family RNA polymerase sigma factor,VOG00050
1597966.YP_009210079.1 RNA polymerase sigma factor [Bacillus phage Palmer],1597966,YP_009210079.1,Bacillus phage Palmer, RNA polymerase sigma factor,VOG00050
1610832.YP_009203671.1 RNA polymerase sigma factor [Bacillus phage Stahl],1610832,YP_009203671.1,Bacillus phage Stahl, RNA polymerase sigma factor,VOG00050
1610833.YP_009196951.1 RNA polymerase sigma factor [Bacillus phage Stills],1610833,YP_009196951.1,Bacillus phage Stills, RNA polymerase sigma factor,VOG00050
1636261.YP_009196176.1 sigma-70 family RNA polymerase sigma factor [Paenibacillus phage Vegas],1636261,YP_009196176.1,Paenibacillus phage Vegas, sigma-70 family RNA polymerase sigma factor,VOG00050
1675598.YP_009197513.1 RNA polymerase sigma factor [Bacillus phage Pavlov],1675598,YP_009197513.1,Bacillus phage Pavlov, RNA polymerase sigma factor,VOG00050
1690431.YP_009212166.1 SigF-like RNA polymerase sigma factor [Bacillus phage Eyuki],1690431,YP_009212166.1,Bacillus phage Eyuki, SigF-like RNA polymerase sigma factor,VOG00050
1690456.YP_009207004.1 RNA polymerase sigma factor [Bacillus phage TsarBomba],1690456,YP_009207004.1,Bacillus phage TsarBomba, RNA polymerase sigma factor,VOG00050
1690456.YP_009207005.1 RNA polymerase sigma factor [Bacillus phage TsarBomba],1690456,YP_009207005.1,Bacillus phage TsarBomba, RNA polymerase sigma factor,VOG00050
1691954.YP_009199141.1 putative sporulation sigma factor [Brevibacillus phage Jenst],1691954,YP_009199141.1,Brevibacillus phage Jenst, putative sporulation sigma factor,VOG00050
1698451.YP_009206562.1 SigF-like RNA polymerase sigma factor [Bacillus phage AvesoBmore],1698451,YP_009206562.1,Bacillus phage AvesoBmore, SigF-like RNA polymerase sigma factor,VOG00050
1759525.YP_009830054.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage vB_BceS-MY192],1759525,YP_009830054.1,Bacillus phage vB_BceS-MY192, sigma-70 family RNA polymerase sigma factor,VOG00050
1776293.YP_009274875.1 RNA polymerase sigma factor [Bacillus phage Eldridge],1776293,YP_009274875.1,Bacillus phage Eldridge, RNA polymerase sigma factor,VOG00050
1792245.YP_009285400.1 RNA polymerase sigma-70 factor sigma-B/F/G subfamily [Bacillus phage Deep Blue],1792245,YP_009285400.1,Bacillus phage Deep Blue, RNA polymerase sigma-70 factor sigma-B/F/G subfamily,VOG00050
1792245.YP_009285401.1 RNA polymerase sigma-70 factor sigma-B/F/G subfamily [Bacillus phage Deep Blue],1792245,YP_009285401.1,Bacillus phage Deep Blue, RNA polymerase sigma-70 factor sigma-B/F/G subfamily,VOG00050
1805948.YP_009278239.1 sigma factor [Bacillus phage DIGNKC],1805948,YP_009278239.1,Bacillus phage DIGNKC, sigma factor,VOG00050
1805950.YP_009287107.1 sigma factor [Bacillus phage Nemo],1805950,YP_009287107.1,Bacillus phage Nemo, sigma factor,VOG00050
1805951.YP_009282621.1 sigma factor [Bacillus phage Nigalana],1805951,YP_009282621.1,Bacillus phage Nigalana, sigma factor,VOG00050
1805952.YP_009284554.1 sigma factor [Bacillus phage NotTheCreek],1805952,YP_009284554.1,Bacillus phage NotTheCreek, sigma factor,VOG00050
1805953.YP_009290078.1 sigma factor [Bacillus phage Phrodo],1805953,YP_009290078.1,Bacillus phage Phrodo, sigma factor,VOG00050
1805954.YP_009281029.1 sigma factor [Bacillus phage SageFayge],1805954,YP_009281029.1,Bacillus phage SageFayge, sigma factor,VOG00050
1805956.YP_009291801.1 sigma factor [Bacillus phage Zuko],1805956,YP_009291801.1,Bacillus phage Zuko, sigma factor,VOG00050
1837830.YP_009282173.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage SalinJah],1837830,YP_009282173.1,Bacillus phage SalinJah, sigma-70 family RNA polymerase sigma factor,VOG00050
1852564.YP_009280599.1 RNA polymerase sigma factor [Bacillus phage Belinda],1852564,YP_009280599.1,Bacillus phage Belinda, RNA polymerase sigma factor,VOG00050
1868598.YP_009830772.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage PfEFR-4],1868598,YP_009830772.1,Bacillus phage PfEFR-4, sigma-70 family RNA polymerase sigma factor,VOG00050
1868599.YP_009285288.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage PfEFR-5],1868599,YP_009285288.1,Bacillus phage PfEFR-5, sigma-70 family RNA polymerase sigma factor,VOG00050
1873998.YP_009279398.1 sigma factor [Bacillus phage Kida],1873998,YP_009279398.1,Bacillus phage Kida, sigma factor,VOG00050
1873999.YP_009285170.1 sigma factor [Bacillus phage DirtyBetty],1873999,YP_009285170.1,Bacillus phage DirtyBetty, sigma factor,VOG00050
190478.NP_612861.1 sigma-70 family RNA polymerase sigma factor [Clostridium phage phi3626],190478,NP_612861.1,Clostridium phage phi3626, sigma-70 family RNA polymerase sigma factor,VOG00050
